"REJECT 6";"Over postpaid card number limitation"
"REJECT 7";"Over prepaid card number limitation"
"REJECT 8";"Risk customer 01"
"REJECT 9";"Risk customer 02"
"REJECTCCNOTVALID";"The credit card has expired"
"REJECTCCNOTVALID";"The credit card has expired"
"REJECTSEXNOTMACH";"The selected gender does not mach the ID document information provided"
"Reload Frequency";"Reload Frequency"
"Reload Limit";"Reload Limit"
"Reload Method";"Reload Method"
"Reload Value";"Reload Value"
"Replacement Reason";"Replacement Reason"
"required";"Is required?"
"Salesman ID";"Salesman ID"
"Same billing address?";"Same billing address?"
"Search";"Search"
"services";"Services"
"sex";"Sex"
"Sign";"Sign"
"sim";"SIM card number"
"SIM Card Identification";"SIM Card Identification"
"SIM Card Identification [new activation]";"SIM Card Identification"
"SIM Card Number";"SIM Card Number"
"Sim SWAP";"Sim SWAP"
"state";"State or Township"
"Store ID/Store Stamp";"Store ID/Store Stamp"
"street";"Street name"
"Street Name + Number";"Street Name + Number"
"streetnum";"Street number"
"Tariff plan";"Tariff plan"
"tariffplans";"Tariffplans"
"tariffplans_id";"Tariff plan"
"Techn Problem";"Techn Problem"
"Time";"Time"
"url";"Website's url"
"users";"Users"
"users_id";"User"
"usersgroups";"Users groups"
"usersgroups_id";"Group"
"userspos";"Users Point of Sales"
"userspos_id";"Point of sale"
"userspostype";"Users Point of Sale types"
"userspostype_id";"Type of Point of Sale"
"valid";"Valid yes/no"
"Validation";"Validation"
"validfromdate";"Valid from"
"validtodate";"Valid to"
"value";"Value"
"VISA";"VISA"
"When limit is reached";"When limit is reached"
"Wished porting date ";"Wished porting date"
"Wrong Usage";"Wrong Usage"
"Your password has been changes successfully";"Your password has been changes successfully"
"zip";"Zip code / Postal code"
"ZIP Code";"Zip code / Postal code"
"BDATENOTVALID";"Birth date must be greater then 1900/01/01"
"default";"Home"
"admindashboard";"Dashboard"
"adminpages";"Pages"
"adminfiles";"Files"
"adminpeople";"People"
"adminsnippets";"Snippets"
"adminapplications";"Applications"
"adminnews";"News"
"adminanalytics";"Analytics"
"admincalendar";"Calendar"
"applog";"System: Application Log"
"companies";"Sydney: Companies"
"countries";"Sydney: Countries"
"filfiles";"Files: Files elements"
"filfolders";"Files: Folders"
"filtype";"Files: types"
"form";"Form: forms"
"formcat";"Form: form categories"
"formdisplaygroup";"Form: Display groups (blocks)"
"formelements";"Form: form elements (fields)"
"formelementsjsfilter";"Form: JS filters"
"formelementtypes";"Form: elements types"
"formfilters";"Form: filters"
"formraw";"Form: raw form data"
"formvalidators";"Form: Validators"
"hosclients";"Hosting management: Clients"
"hoscontacts";"Hosting management: Contacts"
"hosdomainnames";"Hosting management: Domaines"
"hoshostings";"Hosting management: Hostings"
"hosservers";"Hosting management: Servers"
"languages";"System: Language"
"listvals";"Form: Value lists"
"listvalsgroups";"Form: value list groups"
"pagdivs";"Pages: Divs (content)"
"pagdivtypes";"Pages: Divs types"
"pagmenus";"Pages: Menus"
"pagstructure";"Pages: Structure"
"safactivitylog";"Sydney: Activity log"
"safcontrollers";"Sydney: Controllers"
"safinstances";"Sydney: Webinstances"
"safmodules";"Sydney: Modules"
